Umur,Penghasilan,Jangka Perpindahan,Kualitas Barang,Kesadaran Limbah,Distances_to_c1,Distances_to_c2,Distances_to_c3,Cluster
21,4,3,1,1,5.823801736552048,3.862641583165594,0.7777777777777768,3
22,5,5,1,1,4.3108390521258535,3.4234485537247386,2.0397288611873137,3
25,4,4,2,2,4.821825380496477,1.0583005244258363,3.7777777777777795,2
19,2,3,1,2,8.5,6.190315016216864,3.4390638978982566,3
24,9,5,2,1,0.9574271077563383,5.359104402789705,5.680810236072986,1
23,8,4,1,2,1.4999999999999998,4.485532298401161,4.1020922093277195,1
21,9,5,2,2,3.0956959368344514,6.536053855347277,5.103859590158156,1
19,3,5,1,1,7.632168761236874,6.125357132445422,3.3407325285273117,3
23,6,2,2,1,3.862210075418822,3.117691453623979,2.737485554389983,3
25,5,2,2,1,4.609772228646443,1.8761663039293717,3.922080576605066,2
23,4,3,1,2,5.0579969684978385,1.9798989873223338,1.7141387356157252,3
25,5,5,1,1,3.947573094109003,1.9798989873223334,4.0612593072215715,2
22,6,2,2,1,4.232808366400097,3.7841775856849003,2.3200681130912337,3
24,2,4,1,2,6.726812023536855,2.3494680248941466,3.5969809013863663,2
26,9,5,2,1,2.217355782608345,5.43323108288245,6.818638218918338,1
27,8,3,1,2,3.4999999999999996,4.638965401897281,6.687006010369369,1
23,9,5,2,2,1.2583057392117918,5.6142675390472805,5.3171049395579555,1
21,3,3,1,2,6.626965117357014,4.014971979976947,1.5436048877166444,3
23,6,3,1,2,3.304037933599834,2.8142494558940583,2.36747508362917,3
25,4,2,1,1,5.469613027140646,1.5231546211727816,3.807075933113738,2
